,ActivePower,WindSpeed,WindDirection
2018-01-01 00:00:00,-5.0914316753322835,2.097676771018695,280.5714285714285
2018-01-01 01:00:00,-4.822548848115375,1.9547810149362281,316.75
2018-01-01 02:00:00,-4.668976839214323,1.7046209076066716,302.26285714285723
2018-01-01 03:00:00,-5.2623964004612835,1.9130033690626433,279.673544973545
2018-01-01 04:00:00,-5.600274727841459,2.180539630439577,282.6224747474748
2018-01-01 05:00:00,-4.92701306150542,2.3433742815796683,241.9125
2018-01-01 06:00:00,18.17082829568511,3.1200489154517066,256.6378205128205
2018-01-01 07:00:00,-8.195525463507261,2.5316430970344332,305.4272435897437
2018-01-01 08:00:00,-5.646004416469618,2.684407551371025,280.48
2018-01-01 09:00:00,-5.681505608639521,2.2309675205533184,311.9066666666666
2018-01-01 10:00:00,0.19554446804799971,2.884171271775163,297.39880952380946
2018-01-01 11:00:00,-8.349900930296632,2.7054449070918523,277.9
2018-01-01 12:00:00,138.79450278487073,4.0298164252212585,259.6666666666667
2018-01-01 13:00:00,272.19858975185934,4.920170779545431,244.2
2018-01-01 14:00:00,226.05225972923333,4.808284192467308,252.0
2018-01-01 15:00:00,214.047161565256,4.650823639956974,257.1
2018-01-01 16:00:00,562.7397151265526,6.113161309480332,279.3333333333333
2018-01-01 17:00:00,740.6259691797742,6.70210485500263,294.0
2018-01-01 18:00:00,451.0058165335033,5.723613550320486,286.625
2018-01-01 19:00:00,155.05170697983388,4.312732327068816,289.3
2018-01-01 20:00:00,142.66501477068616,4.26407117378416,279.4166666666667
2018-01-01 21:00:00,693.3297520640826,6.79506852517706,289.75
2018-01-01 22:00:00,527.0301722153444,6.1251971613838245,292.6
2018-01-01 23:00:00,517.5906215382998,6.146608651522123,301.6
2018-01-02 00:00:00,113.54274913633522,3.9331585749187448,317.75
2018-01-02 01:00:00,-6.056941394015933,2.7876258688523166,325.0638888888888
2018-01-02 02:00:00,-5.5698663601213045,2.252420395397494,255.5666666666666
2018-01-02 03:00:00,-5.58176254506957,2.2605777986109317,263.1307692307692
2018-01-02 04:00:00,12.169231118777118,2.830052646314963,250.26565656565666
2018-01-02 05:00:00,123.11178528303117,3.903133344616883,270.42857142857133
2018-01-02 06:00:00,193.20831159972116,4.27246530980392,267.125
2018-01-02 07:00:00,34.060302845276304,3.298926654420365,281.19166666666666
2018-01-02 08:00:00,-1.5290573934616354,2.962985529206135,263.87916666666666
2018-01-02 09:00:00,23.939292740001658,3.031212424842275,220.925
2018-01-02 10:00:00,20.63544685775869,3.354526231160517,253.0666666666667
2018-01-02 11:00:00,102.27110341938464,3.7176203470898286,240.20999999999998
2018-01-02 12:00:00,148.48353071913434,4.112477947928223,245.25
2018-01-02 13:00:00,163.11785232097915,4.326480035107291,252.0
2018-01-02 14:00:00,168.34148122993068,4.384038567853268,255.6
2018-01-02 15:00:00,412.39671750960366,5.597880575948849,275.61111111111114
2018-01-02 16:00:00,604.4018748100424,6.271416709310344,280.0
2018-01-02 17:00:00,891.607404433858,7.11778574355717,279.4
2018-01-02 18:00:00,1299.2767221859247,8.036224499304296,285.85
2018-01-02 19:00:00,1272.5542907491433,7.902936747938093,292.0
2018-01-02 20:00:00,956.1710474475827,7.358584214727801,292.0
2018-01-02 21:00:00,534.8092321874555,6.168927013255335,290.8
2018-01-02 22:00:00,579.1434755411038,6.200557085715367,290.5
2018-01-02 23:00:00,475.05418899778186,5.980027812235331,290.2
2018-01-03 00:00:00,295.9310454450204,5.297314313733876,292.9
2018-01-03 01:00:00,183.4248588476624,4.458437344967678,286.6
2018-01-03 02:00:00,11.997984126615554,3.010655216023705,283.0
2018-01-03 03:00:00,51.1177453656015,3.345462830680868,277.0
2018-01-03 04:00:00,460.9883817960276,5.501361807839281,291.425
2018-01-03 05:00:00,355.81988521228465,5.072582730402732,285.6130952380952
2018-01-03 06:00:00,220.02002911223022,4.5008921499747965,280.22390109890097
2018-01-03 07:00:00,54.94351185993148,3.567008787424887,280.2930555555555
2018-01-03 08:00:00,34.138828244232656,3.166172915703772,257.43981481481484
2018-01-03 09:00:00,30.770736654893213,3.21888519092125,223.74523809523816
2018-01-03 10:00:00,9.991301470201337,2.9353883355441766,241.18585858585848
2018-01-03 11:00:00,-7.800396197152817,2.613221128964238,266.9714285714285
2018-01-03 12:00:00,-5.862261031604153,2.8931569585236416,244.4333333333333
2018-01-03 13:00:00,-5.914526273217774,2.669211235337362,239.4
2018-01-03 14:00:00,-5.570026988106825,2.298822224393662,265.4666666666666
2018-01-03 15:00:00,18.567812584876016,3.081689013668482,234.0
2018-01-03 16:00:00,786.0497335110505,6.629920781931907,259.4
2018-01-03 17:00:00,1285.405158918675,8.030994371925177,281.8
2018-01-03 18:00:00,1437.17788325872,8.351087048512804,286.6
2018-01-03 19:00:00,1319.794133889854,8.240754600001889,295.8666666666666
2018-01-03 20:00:00,463.15780681934183,5.887352531938821,303.55833333333334
2018-01-03 21:00:00,121.72461767227855,3.9699954754688433,325.25
2018-01-03 22:00:00,231.1354244957095,4.816866494378479,317.6
2018-01-03 23:00:00,309.436271963286,5.250439879472387,296.75
2018-01-04 00:00:00,494.8877523732444,6.039162558311499,297.75
2018-01-04 01:00:00,394.29085904264963,5.496824822428916,309.5
2018-01-04 02:00:00,119.67871321352106,4.034287002609074,311.3
2018-01-04 03:00:00,88.7051724619365,3.5961730268342635,311.0
2018-01-04 04:00:00,391.96992704835037,5.23492482364027,298.6
2018-01-04 05:00:00,274.0034177980478,4.726891421188972,283.7142857142858
